id|published|year|month|title|authors|summary|journal_ref|doi|primary_category|categories|problem_def|keywords
24829cd1-53eb-5acb-9945-2df76e90574c|2015-01-03T18:49:01|2015|1|DREAM: Distributed RDF Engine with Adaptive QueryPlanner and Minimal Communication|||||||The problem addressed in this research is the efficient management of large-scale RDF data in distributed systems. The context is that RDF data is becoming increasingly large and complex, making it challenging to manage and query efficiently. The authors aim to address this problem by developing a system that can process RDF queries in a distributed manner while minimizing communication overhead and maximizing parallelism. The key objectives are to design a system that can adapt to different query workloads, reduce intermediate data shuffling, and provide a cost-effective solution for large-scale RDF data management. The authors also aim to overcome the limitations of existing RDF systems, which either store data unsliced at each machine or partition data and queries, resulting in high communication overhead or limited scalability.|RDF,Distributed,Query,System,Paradigm,Partitioning,Communication,Adaptive,Minimal,Quadrant
6658781b-834e-5897-89b2-6ac85a16ed96|2019-11-11T14:25:56|2019|11|A survey of current challenges in partitioning and processing of graph-structured data in parallel and distributed systems|Hamilton Wilfried Yves Adoni||||||The problem definition addressed in this research is the graph partitioning problem, which involves dividing a large graph into smaller subgraphs or partitions to facilitate efficient processing, storage, and analysis. The context that makes this problem important is the rapid growth of big graph data in various fields, such as social networks, web graphs, and biological networks, which poses significant challenges in terms of scalability, complexity, and computational resources. The key objectives or goals of the authors are to: Minimize the cut edges between partitions, which reduces communication overhead and improves processing efficiency. Balance the partition sizes to ensure even distribution of workload and resources. Develop efficient and scalable graph partitioning algorithms that can handle large graphs with millions of vertices and edges. Overall, the authors aim to address the graph partitioning problem by developing effective solutions that can efficiently process and analyze large graph data, which is critical in various applications, such as social network analysis, recommendation systems, and data mining.|Graph,Partitioning,Large-scale,Data,Processing,Systems,Algorithms,Complexity,Big,Networks
11c51c5a-3ab4-506d-963c-480e81199b0d|2018-10-31T08:39:05|2018|10|PruneJuice: Pruning Trillion-edgeGraphsto a PrecisePattern-Matching Solution|||||||The problem addressed in this research is the pattern matching problem in graphs, which involves finding subgraphs that match a small template graph within a large background graph. This problem is fundamental to graph analysis and has applications in multiple areas such as social network analysis, bioinformatics, and information mining. The authors aim to develop a technique that can efficiently and accurately identify all matches between the template and background graphs, with a focus on scalability and precision. The key objectives are to: (1) develop a systematic approach to eliminate all vertices and edges that do not participate in any match, and (2) provide a distributed algorithm that can efficiently verify non-local constraints to guarantee no false positives. The authors also aim to explore trade-offs between precision and time-to-solution, and to evaluate the impact of strategic design choices and optimizations on the performance of the algorithm.|Pattern,Matching,Graph,Pruning,Scalable,Distributed,Algorithm,Trillion,Edge,Solution
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|2022-05-06T09:17:41|2022|5|Wake up and join me! An energy-efficient algorithm for maximal matching in radio networks|Varsha Dani||||||The problem addressed in this research is the energy-efficient communication in wireless radio networks, particularly in the context of sensor networks. The background that makes this problem important is the limited energy resources of sensor nodes, which necessitates energy conservation to prolong their lifespan. In such networks, communication is a significant energy drain, and optimizing energy usage is crucial. The key objective of this research is to design distributed algorithms that minimize energy consumption while ensuring reliable communication in wireless radio networks. Specifically, the authors aim to develop algorithms that can efficiently assign neighbors to backup data in case of node failure, thereby maintaining network connectivity and data integrity. The primary goal is to minimize the maximum load (i.e., the number of nodes assigned to a single node) while ensuring that the energy consumption per node remains low. In summary, the problem definition revolves around developing energy-efficient communication protocols for wireless radio networks, with a focus on minimizing energy consumption, maintaining network reliability, and ensuring data integrity in the face of node failures.|Energy,Radio,Networks,Distributed,Algorithm,Matching,Maximal,Polylog,Neighbor,Assignment
89076307-1a7d-5a89-806d-b8e4f0992933|2017-10-12T09:06:03|2017|10|Simple and Near-Optimal Distributed Coloring forSparse Graphs|||||||The problem addressed in this research is the distributed graph coloring problem, specifically for sparse graphs with low arboricity. The context that makes this problem important is its wide range of applications in networks and distributed systems, such as scheduling conflicting tasks, resource allocation, and network optimization. The current state of the art in distributed graph coloring algorithms is unsatisfactory, as they often require a large number of colors, which can lead to inefficient use of resources. The key objective of this research is to develop simple and near-optimal distributed algorithms for graph coloring that can efficiently color sparse graphs using a small number of colors. The authors aim to achieve this goal by designing algorithms that can color the graph in a short number of rounds, using a minimal number of colors, and with high probability of success. The authors also aim to improve upon the current state of the art in distributed graph coloring algorithms, which often have high complexities and require a large number of colors. Overall, the goal of this research is to provide efficient and scalable solutions for distributed graph coloring in sparse graphs, which can have a significant impact on various applications in networks and distributed systems.|Distributed,Graph,Coloring,Algorithms,Arboricity,Logarithmic,Rounds,Complexity,Deterministic,Chromatic
a257e631-8655-5cb4-9a54-d897e9c2dc1d|2017-06-13T06:45:08|2017|6|A Distributed (2 + ε)-Approximation for Vertex Cover in O(log Δ / ε log log Δ) Rounds|||||||The problem addressed in this research is the Minimum Weighted Vertex Cover (MWVC) problem in distributed networks. The context that makes this problem important is that MWVC is a fundamental problem in computer science and operations research, and it has numerous applications in various fields, including network optimization, data mining, and machine learning. Moreover, with the increasing scale and complexity of modern networks, there is a growing need for efficient distributed algorithms to solve this problem. The key objective of this research is to develop a distributed algorithm that can approximate the MWVC problem within a factor of 2 in a polylogarithmic number of rounds. The authors aim to achieve this goal by designing a local ratio algorithm that can be executed in a distributed manner, where each node in the network makes decisions based on local information and communicates with its neighbors. In particular, the authors focus on developing a 2-approximation algorithm that can be completed in O(log log log n) rounds, where n is the number of nodes in the network. This is a significant improvement over previous algorithms, which require a much larger number of rounds to achieve a similar approximation ratio. The authors' goal is to provide a fast and efficient distributed algorithm for solving the MWVC problem, which can be applied to large-scale networks and has potential applications in various fields.|Vertex Cover,Distributed Algorithm,Approximation Algorithm,Graph Algorithm,Local Ratio,Weighted Vertex Cover,Minimum Weighted Vertex Cover,Distributed Computing,Graph Theory,Approximation Ratio
5af0c511-cc44-57ef-aaa4-89f255fd3f59|2023-11-26T05:49:38|2023|11|Object-Oriented Frameworks for Distributed Systems: A Survey|Wai Ming Ho,Jean-Marc Jézéquel||||||The problem definition addressed in this research revolves around the development of distributed parallel computing frameworks, which are essential for building complex distributed applications. The context that makes this problem important is the increasing need for distributed collaborative applications in various domains, such as business, engineering, and science. These applications require efficient management of distributed resources, scalability, and adaptability, which can be achieved through the use of frameworks. The key objectives or goals set by the authors to address this problem are: 1. To provide a clear understanding of the concept of frameworks and their role in building distributed parallel computing applications. 2. To identify the challenges and difficulties associated with developing and using frameworks for distributed parallel computing. 3. To explore ways to improve the development and adaptation of frameworks for distributed parallel computing applications. Overall, the authors aim to contribute to the development of more effective and efficient distributed parallel computing frameworks, which can facilitate the creation of complex distributed applications and ultimately benefit various domains and industries.|Frameworks,Object-Oriented,Documentation,Development,Domain-Specific,Integration,Interoperability,Standards,Reuse,Middleware
36cfc05b-506b-5b5d-9097-b89fecf163d6|2023-11-20T01:40:41+00:00|2023|11|Fused Breadth-First Probabilistic Traversals on Distributed GPU Systems|||||||The problem addressed in this research is the efficient parallelization of probabilistic breadth-first traversals (BPTs) in graph analytics, specifically in the context of stochastic diffusion-based graph problems like influence maximization. The context is that modern supercomputers, such as the OLCF Frontier, leverage a large number of general-purpose GPUs to achieve high parallelism and computational density. However, the large number of BPT traversals and irregular, skewed access of memory edges due to probabilistic traversals and graph topology limit scaling. The key objective is to develop an algorithm that can efficiently fuse massive numbers of concurrently executing BPTs with random starts on the input graph, reducing the net number of visits per edge and thereby reducing time-to-solution. The authors aim to achieve this by presenting a new algorithm, the fused BPT algorithm, and demonstrating its efficacy through experiments on real-world inputs.|Fused,Breadth,First,Probabilistic,Traversals,Distributed,GPU,Systems,Influence,Maximization
fcdac258-b8af-5136-802c-97711256a474|2020-04-07T16:34:42|2020|4|Eﬃcient Deterministic Distributed Coloringwith Small Bandwidth|||||||The problem addressed in this research is the distributed graph coloring problem, specifically the degree 1 list coloring problem, in the context of distributed computing models such as CONGEST, CONGESTED CLIQUE, and MPC. The problem is important because it is a fundamental problem in distributed computing, and solving it efficiently is crucial for various applications. The authors aim to design deterministic algorithms that can solve the problem in a polylogarithmic number of rounds, which is a significant improvement over previous results. The key objective is to develop efficient algorithms that can handle large graphs with high diameters, which is a challenging task in distributed computing. The authors also aim to adapt their algorithms to different distributed computing models, including CONGESTED CLIQUE and MPC, to achieve faster solutions.|Coloring,Deterministic,Distributed,Graph,Algorithm,CONGEST,Model,Network,Decomposition,Polylogarithmic
f03adb9b-7af2-562f-9039-a002a5636462|2024-08-07T13:49:15.948138|2024|8|Graph Preprocessing for In-Memory Vertex-Centric Graph |||||||The problem addressed in this research is the scalability of graph processing, particularly when dealing with large graphs that do not fit into DRAM. The context is that graph processing is a fundamental task in many applications, such as social network analysis, optimization, and machine learning. However, as graphs grow in size, processing them becomes increasingly challenging due to memory constraints. The authors aim to address this problem by exploring graph reordering techniques to improve the performance of in-memory vertex-centric graph computation on the Intel Optane DC Persistent Memory Module. The key objective is to develop techniques that can efficiently process large graphs by optimizing data placement and reducing memory accesses. The authors also aim to provide a comprehensive evaluation of different graph reordering techniques and their impact on graph processing performance.|Graph,Partitioning,Reordering,Processing,Algorithms,Memory,Performance,Optimization,Techniques,Analysis
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|2020-10-01T16:42:16+00:00|2020|10|A Locality-Aware Energy-Efficient Accelerator for Graph Mining Applications|||||||The problem definition addressed in this research is the acceleration of graph mining applications, which is crucial due to the increasing importance of graph analytics in various domains, such as social networks, advertisement, and bioinformatics. The context that makes this problem important is the massive explosion in data volume, leading to severe random access problems in graph analytics, making it difficult to accelerate on traditional architectures. The key objectives or goals the authors set to address this problem are: To develop a specialized architecture that can efficiently handle the complex, irregular memory accesses inherent in graph mining applications. To identify and optimize the memory access patterns in graph mining, which are different from those in graph processing applications. To design a cost-effective and efficient accelerator that can accelerate graph mining applications, such as clique finding, frequent subgraph mining, and motif counting. Overall, the authors aim to address the problem of accelerating graph mining applications by developing a novel architecture that can efficiently handle the unique memory access patterns and computational requirements of these applications.|Graph mining,Accelerator,Extension locality,Memory hierarchy,Graph processing,Pattern matching,Subgraph isomorphism,Graph acceleration,Specialized hardware,Energy efficiency
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|2014-03-15T07:16:59|2014|3|A survey on techniques for improving the energy efficiency of large-scale distributed systems|||||||The problem definition addressed in this research is the energy inefficiency of large-scale distributed systems, particularly in the context of computing and networking. The background that makes this problem important is the significant and growing energy consumption of these systems, which contributes to environmental concerns, increases operational costs, and affects the overall sustainability of the systems. The key objectives or goals set by the authors to address this problem are: To reduce the energy consumption of large-scale distributed systems while maintaining their performance and quality of service (QoS). To identify and develop techniques that can improve the energy efficiency of these systems, including power management, resource allocation, scheduling, and network traffic management. To provide a comprehensive survey of existing techniques and solutions that can help achieve energy efficiency in large-scale distributed systems. Overall, the authors aim to contribute to the development of sustainable and energy-efficient large-scale distributed systems that can support the growing demands of modern computing and networking applications.|Energy Efficiency,Distributed Systems,Power Management,Computing Resources,Data Centers,Grid Computing,Cloud Computing,Virtualization,Performance Optimization,Sustainability
52fb65a3-7784-5619-a706-d81a22fde108|2010-03-18T11:47:22|2010|3|Pregel: a system for large-scale graph processing|Grzegorz Malewicz,Matthew H Austern,Aart JC Bik,James C Dehnert,Ilan Horn,Naty Leiser,Grzegorz Czajkowski||||||The problem definition addressed in this research is the efficient processing of large-scale graphs, which has become increasingly important due to the growing size and complexity of graph-structured data in various domains, such as social networks, web graphs, and transportation networks. The context that makes this problem important is the need to analyze and extract insights from these massive graphs, which is challenging due to their scale, complexity, and poor locality of memory access. The key objectives or goals the authors set to address this problem are: To design a system that can efficiently process large-scale graphs on distributed computing architectures. To provide a simple and expressive programming model that allows users to easily implement graph algorithms. To develop a system that can scale to thousands of commodity computers, while ensuring fault tolerance and high performance. Overall, the authors aim to develop a system that can efficiently process large-scale graphs, making it possible to extract insights and knowledge from these complex data structures.|Graph,Processing,Large-scale,Distributed,Computing,Algorithm,Pregel,System,Vertex,Message
0371c4b7-c22e-5ee1-8a84-8ad51283e21b|2015-01-25T12:43:17|2015|1|A scalable graph pattern matchingengine on top of Apache Giraph|||||||The problem definition addressed in this research revolves around the scalability of graph pattern matching algorithms, specifically in the context of large-scale graph data processing. The background that makes this problem important is the increasing amount of graph-structured data being generated, which necessitates efficient and scalable algorithms to process and analyze this data. The authors aim to address this problem by exploring the feasibility of mapping Cypher, a query language for graph databases, into Giraph, a distributed graph processing system. The key objectives of this research include: (1) investigating whether a NP-complete problem can benefit from a distributed environment and scale, (2) exploring different options for mapping Cypher into Giraph and evaluating their advantages and disadvantages, and (3) determining whether all Cypher functionality can be translated into Giraph and whether the resulting system would be more scalable than Neo4j.|graph,pattern,matching,Giraph,queries,scalable,engine,Apache,NP,complete,Cypher,analytics,latency,computation,distributed,environment,data,sets,entities,connections,representation,databases,applications,project,system,model,computation,parallel,bulk,synchronous,open,source,design,research,questions,introduction,background,motivation,related,work,language,architecture,algebra,operators,local,global,models,algorithms,systems,thesis,science,computer,faculty,universiteit,amsterdam,sciences,department,student,supervisor,reader,centrum,wiskunde,informatica,amsterdam,december,abstract,advantage,presence,largedata,overcome,need,fast,processing,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,distributed,environments,relevant,problem,complete,especially,presence,largedata,fast,scalable,processing,project,leverages,open,source,built,accepts,equivalent,subset,existing,designed,provide,interactive,strive,focused,o,ine,types,operate,amounts,suited,evaluation,showed,scales,supports,data,sets,entities,large,amounts,data,better,suited,
c084ee8a-70e9-55e6-8575-70787ed41d77|2020-06-17T09:07:16|2020|6|Lower Bounds for Distributed Sketching of Maximal Matchings and Maximal Independent Sets|Sepehr Assadi,Gillat Kol,Rotem Oshman||||||Here is a concise summary of the problem definition addressed in this research: Context and Background: The problem of approximating maximum matching in graphs is a fundamental problem in computer science and has numerous applications in various fields, including computer networks, social networks, and data mining. In many real-world scenarios, the graph data is distributed across multiple machines or nodes, making it challenging to solve the maximum matching problem efficiently. This has led to the development of distributed algorithms, which, however, often rely on a high amount of communication between nodes. Problem Definition: The research addresses the problem of approximating maximum matching in graphs in a distributed setting, where the input graph is partitioned across multiple players, and each player can only communicate a limited amount of information to a central referee. The goal is to design a communication-efficient protocol that allows the players to collectively compute an approximate maximum matching in the graph. Key Objectives: The authors aim to develop a protocol that minimizes the communication cost, measured in terms of the number of bits sent by each player, while still achieving a good approximation of the maximum matching. Specifically, they seek to establish a lower bound on the communication complexity of approximating maximum matching in this distributed setting, which would provide a fundamental limit on the efficiency of any protocol designed to solve this problem.|Distributed Sketching,Maximal Matching,Maximal Independent Set,Communication Complexity,Lower Bounds,Graph Algorithms,Broadcast Congested Clique,Distributed Computing,Graph Problems,Algorithmic Complexity
